green	filename	Strain	Plate	Col	Row	PlateID
NA	50.2.col2.row3.jpeg	50	2	col2	row3	50.2
149	50.2.col3.row1.jpeg	50	2	col3	row1	50.2
136	50.2.col3.row2.jpeg	50	2	col3	row2	50.2
142	50.2.col3.row3.jpeg	50	2	col3	row3	50.2
123	50.2.col4.row1.jpeg	50	2	col4	row1	50.2
127	50.2.col4.row2.jpeg	50	2	col4	row2	50.2
NA	50.2.col4.row3.jpeg	50	2	col4	row3	50.2
NA	50.3.col1.row1.jpeg	50	3	col1	row1	50.3
142	50.3.col1.row2.jpeg	50	3	col1	row2	50.3
138	50.3.col1.row3.jpeg	50	3	col1	row3	50.3
NA	50.3.col2.row1.jpeg	50	3	col2	row1	50.3
NA	50.3.col2.row2.jpeg	50	3	col2	row2	50.3
148	50.3.col2.row3.jpeg	50	3	col2	row3	50.3
133	50.3.col3.row1.jpeg	50	3	col3	row1	50.3
143	50.3.col3.row2.jpeg	50	3	col3	row2	50.3
138	50.3.col3.row3.jpeg	50	3	col3	row3	50.3
142	50.3.col4.row1.jpeg	50	3	col4	row1	50.3
NA	50.3.col4.row2.jpeg	50	3	col4	row2	50.3
130	50.3.col4.row3.jpeg	50	3	col4	row3	50.3
NA	50+451.1.col1.row1.jpeg	50+451	1	col1	row1	50+451.1
145	50+451.1.col1.row2.jpeg	50+451	1	col1	row2	50+451.1
NA	50+451.1.col1.row3.jpeg	50+451	1	col1	row3	50+451.1
153	50+451.1.col2.row1.jpeg	50+451	1	col2	row1	50+451.1
143	50+451.1.col2.row2.jpeg	50+451	1	col2	row2	50+451.1
NA	50+451.1.col2.row3.jpeg	50+451	1	col2	row3	50+451.1
147	50+451.1.col3.row1.jpeg	50+451	1	col3	row1	50+451.1
148	50+451.1.col3.row2.jpeg	50+451	1	col3	row2	50+451.1
139.5	50+451.1.col3.row3.jpeg	50+451	1	col3	row3	50+451.1
141	50+451.1.col4.row1.jpeg	50+451	1	col4	row1	50+451.1
NA	50+451.1.col4.row2.jpeg	50+451	1	col4	row2	50+451.1
136	50+451.1.col4.row3.jpeg	50+451	1	col4	row3	50+451.1
152	50+451.2B.col1.row1.jpeg	50+451	2B	col1	row1	50+451.2B
150	50+451.2B.col1.row2.jpeg	50+451	2B	col1	row2	50+451.2B
136	50+451.2B.col1.row3.jpeg	50+451	2B	col1	row3	50+451.2B
145	50+451.2B.col2.row1.jpeg	50+451	2B	col2	row1	50+451.2B
145	50+451.2B.col2.row2.jpeg	50+451	2B	col2	row2	50+451.2B
147	50+451.2B.col2.row3.jpeg	50+451	2B	col2	row3	50+451.2B
141	50+451.2B.col3.row1.jpeg	50+451	2B	col3	row1	50+451.2B
143	50+451.2B.col3.row2.jpeg	50+451	2B	col3	row2	50+451.2B
137	50+451.2B.col3.row3.jpeg	50+451	2B	col3	row3	50+451.2B
137.5	50+451.2B.col4.row1.jpeg	50+451	2B	col4	row1	50+451.2B
105	50+451.2B.col4.row2.jpeg	50+451	2B	col4	row2	50+451.2B
136	50+451.2B.col4.row3.jpeg	50+451	2B	col4	row3	50+451.2B
159.5	50+451.2.col1.row1.jpeg	50+451	2	col1	row1	50+451.2
151	50+451.2.col1.row2.jpeg	50+451	2	col1	row2	50+451.2
136	50+451.2.col1.row3.jpeg	50+451	2	col1	row3	50+451.2
145	50+451.2.col2.row1.jpeg	50+451	2	col2	row1	50+451.2
146	50+451.2.col2.row2.jpeg	50+451	2	col2	row2	50+451.2
149	50+451.2.col2.row3.jpeg	50+451	2	col2	row3	50+451.2
142	50+451.2.col3.row1.jpeg	50+451	2	col3	row1	50+451.2
143	50+451.2.col3.row2.jpeg	50+451	2	col3	row2	50+451.2
138	50+451.2.col3.row3.jpeg	50+451	2	col3	row3	50+451.2
134.5	50+451.2.col4.row1.jpeg	50+451	2	col4	row1	50+451.2
105.5	50+451.2.col4.row2.jpeg	50+451	2	col4	row2	50+451.2
137	50+451.2.col4.row3.jpeg	50+451	2	col4	row3	50+451.2
146	50+451.3.col1.row1.jpeg	50+451	3	col1	row1	50+451.3
134	50+451.3.col1.row2.jpeg	50+451	3	col1	row2	50+451.3
130	50+451.3.col1.row3.jpeg	50+451	3	col1	row3	50+451.3
139	50+451.3.col2.row1.jpeg	50+451	3	col2	row1	50+451.3
143	50+451.3.col2.row2.jpeg	50+451	3	col2	row2	50+451.3
132	50+451.3.col2.row3.jpeg	50+451	3	col2	row3	50+451.3
143	50+451.3.col3.row1.jpeg	50+451	3	col3	row1	50+451.3
126	50+451.3.col3.row2.jpeg	50+451	3	col3	row2	50+451.3
128	50+451.3.col3.row3.jpeg	50+451	3	col3	row3	50+451.3
112	50+451.3.col4.row1.jpeg	50+451	3	col4	row1	50+451.3
124.5	50+451.3.col4.row2.jpeg	50+451	3	col4	row2	50+451.3
113	50+451.3.col4.row3.jpeg	50+451	3	col4	row3	50+451.3
147	50+451.4.col1.row1.jpeg	50+451	4	col1	row1	50+451.4
140	50+451.4.col1.row2.jpeg	50+451	4	col1	row2	50+451.4
148	50+451.4.col1.row3.jpeg	50+451	4	col1	row3	50+451.4
132	50+451.4.col2.row1.jpeg	50+451	4	col2	row1	50+451.4
151	50+451.4.col2.row2.jpeg	50+451	4	col2	row2	50+451.4
132	50+451.4.col2.row3.jpeg	50+451	4	col2	row3	50+451.4
NA	50+451.4.col3.row1.jpeg	50+451	4	col3	row1	50+451.4
147	50+451.4.col3.row2.jpeg	50+451	4	col3	row2	50+451.4
144	50+451.4.col3.row3.jpeg	50+451	4	col3	row3	50+451.4
142	50+451.4.col4.row1.jpeg	50+451	4	col4	row1	50+451.4
139	50+451.4.col4.row2.jpeg	50+451	4	col4	row2	50+451.4
137	50+451.4.col4.row3.jpeg	50+451	4	col4	row3	50+451.4
149	50.4.col1.row1.jpeg	50	4	col1	row1	50.4
133	50.4.col1.row2.jpeg	50	4	col1	row2	50.4
124	50.4.col1.row3.jpeg	50	4	col1	row3	50.4
138	50.4.col2.row1.jpeg	50	4	col2	row1	50.4
NA	50.4.col2.row2.jpeg	50	4	col2	row2	50.4
141	50.4.col2.row3.jpeg	50	4	col2	row3	50.4
139	50.4.col3.row1.jpeg	50	4	col3	row1	50.4
128	50.4.col3.row2.jpeg	50	4	col3	row2	50.4
130	50.4.col3.row3.jpeg	50	4	col3	row3	50.4
131.5	50.4.col4.row1.jpeg	50	4	col4	row1	50.4
140	50.4.col4.row2.jpeg	50	4	col4	row2	50.4
132	50.4.col4.row3.jpeg	50	4	col4	row3	50.4
146	50+CL58.1.col1.row1.jpeg	50+CL58	1	col1	row1	50+CL58.1
NA	50+CL58.1.col1.row2.jpeg	50+CL58	1	col1	row2	50+CL58.1
132	50+CL58.1.col1.row3.jpeg	50+CL58	1	col1	row3	50+CL58.1
130	50+CL58.1.col2.row1.jpeg	50+CL58	1	col2	row1	50+CL58.1
146.5	50+CL58.1.col2.row2.jpeg	50+CL58	1	col2	row2	50+CL58.1
136	50+CL58.1.col2.row3.jpeg	50+CL58	1	col2	row3	50+CL58.1
145	50+CL58.1.col3.row1.jpeg	50+CL58	1	col3	row1	50+CL58.1
145	50+CL58.1.col3.row2.jpeg	50+CL58	1	col3	row2	50+CL58.1
145	50+CL58.1.col3.row3.jpeg	50+CL58	1	col3	row3	50+CL58.1
141	50+CL58.1.col4.row1.jpeg	50+CL58	1	col4	row1	50+CL58.1
145	50+CL58.1.col4.row2.jpeg	50+CL58	1	col4	row2	50+CL58.1
