npixels	filename	Strain	Plate	Col	Row	PlateID	Sticker.size	Normalized.size	Hull.area	Normalized.hull.area
0	50+451.1.col2.row3.jpeg	50+451	1	col2	row3	50+451.1	1565	0	0	0
1149	50+451.1.col3.row1.jpeg	50+451	1	col3	row1	50+451.1	1565	0.734185303514377	2185	1.3961661341853
3012	50+451.1.col3.row2.jpeg	50+451	1	col3	row2	50+451.1	1565	1.92460063897764	5465	3.49201277955272
49	50+451.1.col3.row3.jpeg	50+451	1	col3	row3	50+451.1	1565	0.0313099041533546	172.5	0.110223642172524
1797	50+451.1.col4.row1.jpeg	50+451	1	col4	row1	50+451.1	1565	1.1482428115016	2907.5	1.85782747603834
0	50+451.1.col4.row2.jpeg	50+451	1	col4	row2	50+451.1	1565	0	0	0
2205	50+451.1.col4.row3.jpeg	50+451	1	col4	row3	50+451.1	1565	1.40894568690096	3780.5	2.41565495207668
9	50+451.2B.col1.row1.jpeg	50+451	2B	col1	row1	50+451.2B	1520	0.00592105263157895	76	0.05
2162	50+451.2B.col1.row2.jpeg	50+451	2B	col1	row2	50+451.2B	1520	1.42236842105263	4203.5	2.76546052631579
33	50+451.2B.col1.row3.jpeg	50+451	2B	col1	row3	50+451.2B	1520	0.0217105263157895	55	0.0361842105263158
1837	50+451.2B.col2.row1.jpeg	50+451	2B	col2	row1	50+451.2B	1520	1.20855263157895	3526	2.31973684210526
2740	50+451.2B.col2.row2.jpeg	50+451	2B	col2	row2	50+451.2B	1520	1.80263157894737	4744	3.12105263157895
934	50+451.2B.col2.row3.jpeg	50+451	2B	col2	row3	50+451.2B	1520	0.614473684210526	1851.5	1.21809210526316
1394	50+451.2B.col3.row1.jpeg	50+451	2B	col3	row1	50+451.2B	1520	0.917105263157895	2466.5	1.62269736842105
3724	50+451.2B.col3.row2.jpeg	50+451	2B	col3	row2	50+451.2B	1520	2.45	7653	5.03486842105263
1940	50+451.2B.col3.row3.jpeg	50+451	2B	col3	row3	50+451.2B	1520	1.27631578947368	3375.5	2.22072368421053
134	50+451.2B.col4.row1.jpeg	50+451	2B	col4	row1	50+451.2B	1520	0.0881578947368421	269	0.176973684210526
35	50+451.2B.col4.row2.jpeg	50+451	2B	col4	row2	50+451.2B	1520	0.0230263157894737	76	0.05
1501	50+451.2B.col4.row3.jpeg	50+451	2B	col4	row3	50+451.2B	1520	0.9875	2770	1.82236842105263
14	50+451.2.col1.row1.jpeg	50+451	2	col1	row1	50+451.2	1522	0.00919842312746386	73	0.0479632063074901
2111	50+451.2.col1.row2.jpeg	50+451	2	col1	row2	50+451.2	1522	1.38699080157687	3879	2.54862023653088
47	50+451.2.col1.row3.jpeg	50+451	2	col1	row3	50+451.2	1522	0.030880420499343	72	0.0473061760840999
1801	50+451.2.col2.row1.jpeg	50+451	2	col2	row1	50+451.2	1522	1.18331143232589	3307.5	2.17312746386334
2678	50+451.2.col2.row2.jpeg	50+451	2	col2	row2	50+451.2	1522	1.75952693823916	5377	3.53285151116951
892	50+451.2.col2.row3.jpeg	50+451	2	col2	row3	50+451.2	1522	0.586070959264126	1816	1.19316688567674
1312	50+451.2.col3.row1.jpeg	50+451	2	col3	row1	50+451.2	1522	0.862023653088042	2251.5	1.47930354796321
