green	filename	Strain	Plate	Col	Row	PlateID
134	362.3.col4.row3.jpeg	362	3	col4	row3	362.3
139	362.4.col1.row1.jpeg	362	4	col1	row1	362.4
NA	362.4.col1.row2.jpeg	362	4	col1	row2	362.4
NA	362.4.col1.row3.jpeg	362	4	col1	row3	362.4
140	362.4.col2.row1.jpeg	362	4	col2	row1	362.4
145	362.4.col2.row2.jpeg	362	4	col2	row2	362.4
144	362.4.col2.row3.jpeg	362	4	col2	row3	362.4
142	362.4.col3.row1.jpeg	362	4	col3	row1	362.4
139	362.4.col3.row2.jpeg	362	4	col3	row2	362.4
143	362.4.col3.row3.jpeg	362	4	col3	row3	362.4
142	362.4.col4.row1.jpeg	362	4	col4	row1	362.4
137	362.4.col4.row2.jpeg	362	4	col4	row2	362.4
149	362.4.col4.row3.jpeg	362	4	col4	row3	362.4
139	376.1.col1.row1.jpeg	376	1	col1	row1	376.1
126.5	376.1.col1.row2.jpeg	376	1	col1	row2	376.1
145	376.1.col1.row3.jpeg	376	1	col1	row3	376.1
NA	376.1.col2.row1.jpeg	376	1	col2	row1	376.1
139	376.1.col2.row2.jpeg	376	1	col2	row2	376.1
141	376.1.col2.row3.jpeg	376	1	col2	row3	376.1
140	376.1.col3.row1.jpeg	376	1	col3	row1	376.1
139	376.1.col3.row2.jpeg	376	1	col3	row2	376.1
137	376.1.col3.row3.jpeg	376	1	col3	row3	376.1
147	376.1.col4.row1.jpeg	376	1	col4	row1	376.1
148	376.1.col4.row2.jpeg	376	1	col4	row2	376.1
123	376.1.col4.row3.jpeg	376	1	col4	row3	376.1
151	376.2.col1.row1.jpeg	376	2	col1	row1	376.2
NA	376.2.col1.row2.jpeg	376	2	col1	row2	376.2
NA	376.2.col1.row3.jpeg	376	2	col1	row3	376.2
143	376.2.col2.row1.jpeg	376	2	col2	row1	376.2
143	376.2.col2.row2.jpeg	376	2	col2	row2	376.2
147	376.2.col2.row3.jpeg	376	2	col2	row3	376.2
149	376.2.col3.row1.jpeg	376	2	col3	row1	376.2
146	376.2.col3.row2.jpeg	376	2	col3	row2	376.2
NA	376.2.col3.row3.jpeg	376	2	col3	row3	376.2
103	376.2.col4.row1.jpeg	376	2	col4	row1	376.2
142	376.2.col4.row2.jpeg	376	2	col4	row2	376.2
136	376.2.col4.row3.jpeg	376	2	col4	row3	376.2
136	376.3.col1.row1.jpeg	376	3	col1	row1	376.3
138	376.3.col1.row2.jpeg	376	3	col1	row2	376.3
135	376.3.col1.row3.jpeg	376	3	col1	row3	376.3
139	376.3.col2.row1.jpeg	376	3	col2	row1	376.3
138	376.3.col2.row2.jpeg	376	3	col2	row2	376.3
126	376.3.col2.row3.jpeg	376	3	col2	row3	376.3
131	376.3.col3.row1.jpeg	376	3	col3	row1	376.3
128	376.3.col3.row2.jpeg	376	3	col3	row2	376.3
NA	376.3.col3.row3.jpeg	376	3	col3	row3	376.3
125	376.3.col4.row1.jpeg	376	3	col4	row1	376.3
NA	376.3.col4.row2.jpeg	376	3	col4	row2	376.3
NA	376.3.col4.row3.jpeg	376	3	col4	row3	376.3
151	376.4.col1.row1.jpeg	376	4	col1	row1	376.4
144	376.4.col1.row2.jpeg	376	4	col1	row2	376.4
145	376.4.col1.row3.jpeg	376	4	col1	row3	376.4
144	376.4.col2.row1.jpeg	376	4	col2	row1	376.4
142	376.4.col2.row2.jpeg	376	4	col2	row2	376.4
134	376.4.col2.row3.jpeg	376	4	col2	row3	376.4
145	376.4.col3.row1.jpeg	376	4	col3	row1	376.4
143	376.4.col3.row2.jpeg	376	4	col3	row2	376.4
140	376.4.col3.row3.jpeg	376	4	col3	row3	376.4
NA	376.4.col4.row1.jpeg	376	4	col4	row1	376.4
140	376.4.col4.row2.jpeg	376	4	col4	row2	376.4
140	376.4.col4.row3.jpeg	376	4	col4	row3	376.4
147	CL18.1.col1.row1.jpeg	CL18	1	col1	row1	CL18.1
NA	CL18.1.col1.row2.jpeg	CL18	1	col1	row2	CL18.1
NA	CL18.1.col1.row3.jpeg	CL18	1	col1	row3	CL18.1
147	CL18.1.col2.row1.jpeg	CL18	1	col2	row1	CL18.1
147	CL18.1.col2.row2.jpeg	CL18	1	col2	row2	CL18.1
NA	CL18.1.col2.row3.jpeg	CL18	1	col2	row3	CL18.1
142	CL18.1.col3.row1.jpeg	CL18	1	col3	row1	CL18.1
138	CL18.1.col3.row2.jpeg	CL18	1	col3	row2	CL18.1
150	CL18.1.col3.row3.jpeg	CL18	1	col3	row3	CL18.1
NA	CL18.1.col4.row1.jpeg	CL18	1	col4	row1	CL18.1
133	CL18.1.col4.row2.jpeg	CL18	1	col4	row2	CL18.1
143	CL18.1.col4.row3.jpeg	CL18	1	col4	row3	CL18.1
144	CL18.2.col1.row1.jpeg	CL18	2	col1	row1	CL18.2
143	CL18.2.col1.row2.jpeg	CL18	2	col1	row2	CL18.2
140	CL18.2.col1.row3.jpeg	CL18	2	col1	row3	CL18.2
145	CL18.2.col2.row1.jpeg	CL18	2	col2	row1	CL18.2
151	CL18.2.col2.row2.jpeg	CL18	2	col2	row2	CL18.2
150	CL18.2.col2.row3.jpeg	CL18	2	col2	row3	CL18.2
144	CL18.2.col3.row1.jpeg	CL18	2	col3	row1	CL18.2
149	CL18.2.col3.row2.jpeg	CL18	2	col3	row2	CL18.2
133	CL18.2.col3.row3.jpeg	CL18	2	col3	row3	CL18.2
NA	CL18.2.col4.row1.jpeg	CL18	2	col4	row1	CL18.2
129	CL18.2.col4.row2.jpeg	CL18	2	col4	row2	CL18.2
143	CL18.2.col4.row3.jpeg	CL18	2	col4	row3	CL18.2
NA	CL18.3.col1.row1.jpeg	CL18	3	col1	row1	CL18.3
NA	CL18.3.col1.row2.jpeg	CL18	3	col1	row2	CL18.3
NA	CL18.3.col1.row3.jpeg	CL18	3	col1	row3	CL18.3
147	CL18.3.col2.row1.jpeg	CL18	3	col2	row1	CL18.3
153	CL18.3.col2.row2.jpeg	CL18	3	col2	row2	CL18.3
152	CL18.3.col2.row3.jpeg	CL18	3	col2	row3	CL18.3
150	CL18.3.col3.row1.jpeg	CL18	3	col3	row1	CL18.3
141	CL18.3.col3.row2.jpeg	CL18	3	col3	row2	CL18.3
145	CL18.3.col3.row3.jpeg	CL18	3	col3	row3	CL18.3
134	CL18.3.col4.row1.jpeg	CL18	3	col4	row1	CL18.3
136	CL18.3.col4.row2.jpeg	CL18	3	col4	row2	CL18.3
149	CL18.3.col4.row3.jpeg	CL18	3	col4	row3	CL18.3
136	CL18.4.col1.row1.jpeg	CL18	4	col1	row1	CL18.4
141	CL18.4.col1.row2.jpeg	CL18	4	col1	row2	CL18.4
140	CL18.4.col1.row3.jpeg	CL18	4	col1	row3	CL18.4
136	CL18.4.col2.row1.jpeg	CL18	4	col2	row1	CL18.4
140	CL18.4.col2.row2.jpeg	CL18	4	col2	row2	CL18.4
NA	CL18.4.col2.row3.jpeg	CL18	4	col2	row3	CL18.4
137	CL18.4.col3.row1.jpeg	CL18	4	col3	row1	CL18.4
138	CL18.4.col3.row2.jpeg	CL18	4	col3	row2	CL18.4
142	CL18.4.col3.row3.jpeg	CL18	4	col3	row3	CL18.4
125.5	CL18.4.col4.row1.jpeg	CL18	4	col4	row1	CL18.4
135	CL18.4.col4.row2.jpeg	CL18	4	col4	row2	CL18.4
136	CL18.4.col4.row3.jpeg	CL18	4	col4	row3	CL18.4
153	CL41.1.col1.row1.jpeg	CL41	1	col1	row1	CL41.1
141	CL41.1.col1.row2.jpeg	CL41	1	col1	row2	CL41.1
NA	CL41.1.col1.row3.jpeg	CL41	1	col1	row3	CL41.1
138.5	CL41.1.col2.row1.jpeg	CL41	1	col2	row1	CL41.1
148	CL41.1.col2.row2.jpeg	CL41	1	col2	row2	CL41.1
154	CL41.1.col2.row3.jpeg	CL41	1	col2	row3	CL41.1
149	CL41.1.col3.row1.jpeg	CL41	1	col3	row1	CL41.1
149	CL41.1.col3.row2.jpeg	CL41	1	col3	row2	CL41.1
151	CL41.1.col3.row3.jpeg	CL41	1	col3	row3	CL41.1
149	CL41.1.col4.row1.jpeg	CL41	1	col4	row1	CL41.1
129.5	CL41.1.col4.row2.jpeg	CL41	1	col4	row2	CL41.1
148	CL41.1.col4.row3.jpeg	CL41	1	col4	row3	CL41.1
132	CL41.2.col1.row1.jpeg	CL41	2	col1	row1	CL41.2
136	CL41.2.col1.row2.jpeg	CL41	2	col1	row2	CL41.2
135	CL41.2.col1.row3.jpeg	CL41	2	col1	row3	CL41.2
137	CL41.2.col2.row1.jpeg	CL41	2	col2	row1	CL41.2
139	CL41.2.col2.row2.jpeg	CL41	2	col2	row2	CL41.2
NA	CL41.2.col2.row3.jpeg	CL41	2	col2	row3	CL41.2
83	CL41.2.col3.row1.jpeg	CL41	2	col3	row1	CL41.2
152	CL41.2.col3.row2.jpeg	CL41	2	col3	row2	CL41.2
137	CL41.2.col3.row3.jpeg	CL41	2	col3	row3	CL41.2
140	CL41.2.col4.row1.jpeg	CL41	2	col4	row1	CL41.2
133	CL41.2.col4.row2.jpeg	CL41	2	col4	row2	CL41.2
134	CL41.2.col4.row3.jpeg	CL41	2	col4	row3	CL41.2
144	CL41.3.col1.row1.jpeg	CL41	3	col1	row1	CL41.3
141	CL41.3.col1.row2.jpeg	CL41	3	col1	row2	CL41.3
133	CL41.3.col1.row3.jpeg	CL41	3	col1	row3	CL41.3
138	CL41.3.col2.row1.jpeg	CL41	3	col2	row1	CL41.3
144	CL41.3.col2.row2.jpeg	CL41	3	col2	row2	CL41.3
149	CL41.3.col2.row3.jpeg	CL41	3	col2	row3	CL41.3
142	CL41.3.col3.row1.jpeg	CL41	3	col3	row1	CL41.3
140	CL41.3.col3.row2.jpeg	CL41	3	col3	row2	CL41.3
149	CL41.3.col3.row3.jpeg	CL41	3	col3	row3	CL41.3
144	CL41.3.col4.row1.jpeg	CL41	3	col4	row1	CL41.3
NA	CL41.3.col4.row2.jpeg	CL41	3	col4	row2	CL41.3
141	CL41.3.col4.row3.jpeg	CL41	3	col4	row3	CL41.3
145	CL41.4.col1.row1.jpeg	CL41	4	col1	row1	CL41.4
140	CL41.4.col1.row2.jpeg	CL41	4	col1	row2	CL41.4
